Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Kirloskar Ferrous Industries,https://www.crunchbase.com/organization/kirloskar-ferrous-industries-l,,"Industrial, Industrial Manufacturing, Manufacturing","Pune, Maharashtra, India",Kirloskar Ferrous Industries provides all types Industrial manufacturings.,"3,633,057",Asia-Pacific (APAC),Active,1991-01-01,day,1994-04-12,day,,,For Profit,https://www.kirloskarferrous.com/,"Kirloskar Ferrous Industries is a cylinder block manufacturing company. They offer services for the automotive industry, infrastructure, construction, the agriculture sector, and steel plants.",,,,,Manufacturing,Ravindranath Gumaste,,IPO,,,,,,,,,,,,,,,,,,,
Nittetsu Mining,https://www.crunchbase.com/organization/nittetsu-mining,,"Industrial, Mining","Marunouchi, Tokyo, Japan",Nittetsu Mining is a mining company.,"3,635,596",Asia-Pacific (APAC),Active,1939-05-20,day,1954-03-03,day,,,For Profit,http://www.nittetsukou.co.jp/,"Nittetsu Mining offers mining and sales of limestone, calculus, and crushed stone. They also offer copper and other mineral processing, sales, and import and export. They develop and sell machinery and environmental products. They provide real estate and power generation businesses using natural energy.",,,,,"Manufacturing, Natural Resources",,,IPO,,,,,,,,,,,,,,,,,,,
Nippon Light Metal,https://www.crunchbase.com/organization/nippon-light-metal,,"Industrial, Manufacturing","Shimbashi, Tokyo, Japan",Nippon Light Metal is a manufacturer of aluminum and chemical products.,"3,637,460",Asia-Pacific (APAC),Active,1903-01-01,year,2012-10-01,day,,,For Profit,https://www.nikkeikin.com/,"Nippon Light Metal is a producer and supplier of aluminum and chemical products. They provide products that include those in the chemical business, metal alloy business, industrial parts business, rolled products business, capacitor foil business, and heat exchanger business.",,,,,Manufacturing,,,IPO,,,,,,,,,,,,,,,,,,,
Integrated Technology Services,https://www.crunchbase.com/organization/integrated-technology-services-ba58,,"Analytics, Information Technology, IT Infrastructure, Software","Cairo, Al Qahirah, Egypt","Integrated Technology Services provides systems integration, software implementation, and managed IT support.","3,650,184","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Active,2007-01-01,year,,,,,For Profit,https://www.its-egy.com,"Integrated Technology Services provides information technology services that cover systems integration, application development, and managed support. The company implements and maintains business software platforms, including ERP, CRM, and content management, and integrates them with existing workflows. Service offerings include IT consulting, infrastructure setup, networking, cybersecurity configuration, and cloud migration. Teams handle data migration, testing, training, and help desk to sustain operations after go‑live. Project delivery follows structured methodologies with documentation and knowledge transfer to client staff. Solutions aim to improve interoperability, streamline processes, and keep applications available through monitoring and maintenance.",,,,,"Data and Analytics, Information Technology, Software",,,,,,,,,,,,,,,,,,,,,,
Airbus CyberSecurity,https://www.crunchbase.com/organization/airbus-cybersecurity,,Cyber Security,"Élancourt, Ile-de-France, France","Airbus CyberSecurity is a European specialist in cybersecurity, protect governments, military, critical infrastructure from cyber threats.","3,739,059","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,,,For Profit,https://airbus-cyber-security.com,,,,,,"Information Technology, Privacy and Security",,,,,,,,,,,,,,,,,,,,,,
Kyoei Steel,https://www.crunchbase.com/organization/kyoei-steel,,"Industrial, Manufacturing","Osaka, Osaka, Japan",Kyoei Steel is a steel products manufacturing company.,"3,742,850",Asia-Pacific (APAC),Active,1947-08-21,day,2006-12-19,day,,,For Profit,http://www.kyoeisteel.co.jp,"Kyoei Steel is an electric furnace manufacturing company. They offer products that include steel bars for reinforced concrete, threaded bars and threaded bar joints, flat steel, equal angle iron, steel bars for construction, and billet.",,,,,Manufacturing,Koichi Takashima,,IPO,,,,,,,,,,,,,,,,,,,
Business Machines,https://www.crunchbase.com/organization/business-machines,,"Printing, Service Industry","Bel Air, Maryland, United States",Business Machines provides printing services.,"3,753,807","Greater Baltimore-Maryland Area, East Coast, Southern US",Closed,1995-01-01,year,2022-09-08,day,,none,For Profit,https://www.businessmachines.com,Business Machines provides printing services.,,,,,"Content and Publishing, Media and Entertainment, Other",,,M&A,,,,,,,,,,,,,,,,,,,
Gloria Material Technology,https://www.crunchbase.com/organization/gloria-material-technology,,"Industrial Manufacturing, Manufacturing, Precious Metals","Tainan, T'ai-wan, Taiwan","Gloria Material Technology is a manufacturer of machine parts and alloys like super alloy, high-speed steel, and more.","3,778,897",Asia-Pacific (APAC),Active,1993-01-01,year,1998-10-17,day,,,For Profit,http://www.gmtc.com.tw,"Gloria Material Technology sells special steel, carbon steel, alloy steel, super alloy, and smelting of the raw materials of these products. The company's products include cold work tool steel, hot work tool steel, and carbon tool steel.",,,,,"Manufacturing, Natural Resources",,,IPO,,,,,,,,,,,,,,,,,,,
Chung Hung Steel,https://www.crunchbase.com/organization/chung-hung-steel,,"Building Material, Electronics, Manufacturing","Kaohsiung, T'ai-wan, Taiwan","Chung Hung Steel manufactures, processes, and sells steel products.","3,789,479",Asia-Pacific (APAC),Active,1983-09-29,day,1992-02-20,day,,,For Profit,http://www.chsteel.com.tw/,"Chung Hung Steel builds a steel company that is sustainable and willing to communicate. They provide services such as hot rolling mills, cold rolling mills, and a steel pipe factory.",,,,,"Consumer Electronics, Hardware, Manufacturing, Real Estate",,,IPO,,,,,,,,,,,,,,,,,,,
Uralvagonzavod,https://www.crunchbase.com/organization/uralvagonzavod,,"Automotive, Manufacturing, Military","Moscow, Moscow City, Russian Federation","Uralvagonzavod manufactures hopper cars, wagons, armored recovery vehicles, couplers, railway tanks, and fire support combat vehicles.","3,810,755","Europe, Middle East, and Africa (EMEA)",Active,1936-10-11,day,,,,,For Profit,http://uralvagonzavod.ru/,,,,,,"Government and Military, Information Technology, Manufacturing, Transportation",,,,,,,,,,,,,,,,,,,,,,
Zhuzhou Smelter Group,https://www.crunchbase.com/organization/zhuzhou-smelter-group,,"Chemical, Industrial Manufacturing, Manufacturing, Mineral","Zhuzhou, Hunan, China",Smelter Group is a manufacturer and distributor of nonferrous metal products and chemical products.,"3,810,960",Asia-Pacific (APAC),Active,1993-12-20,day,2004-08-30,day,,,For Profit,http://www.torchcn.com,"Smelter Group manufactures zinc products, including zinc alloy ingots, zinc powders, zinc ingots, and others. They offer lead products, including lead ingots and lead alloy ingots; precious metal products, including sponge palladium, sponge platinum, silver ingots, gold ingots, cobalt oxide, and others, as well as sulfuric acid, mercurous chloride, crude copper, silver nitrate, and others.",,,,,"Manufacturing, Natural Resources, Science and Engineering",,,IPO,,,,,,,,,,,,,,,,,,,
Jinduicheng Molybdenum,https://www.crunchbase.com/organization/jinduicheng-molybdenum,,"Manufacturing, Mining","Changan, Shaanxi, China",Jinduicheng Molybdenum manufactures and distributes molybdenum products.,"3,811,268",Asia-Pacific (APAC),Active,1958-01-01,day,2008-04-17,day,,,For Profit,http://www.jdcmoly.com,"Jinduicheng Molybdenum manufactures molybdenum furnace charge, molybdenum chemicals, and molybdenum metal products. They provide products for concentrate, iron, roasted concentrate blocks, and soluble roasted concentrate, including pure molybdenum oxid, ammonium heptamolybdate, ammonium octa molybdate, pure molybdenum oxid, thin plates, stirrers, electrodes, rods, and plasma-spherical molybdenum powder.",,,,,"Manufacturing, Natural Resources",,,IPO,,,,,,,,,,,,,,,,,,,
Hoshine Silicon,https://www.crunchbase.com/organization/hoshine-silicon,,"Chemical, Manufacturing, Oil and Gas","Pinghu, Zhejiang, China",Hoshine Silicon is a manufacturer of chemical products.,"3,814,964",Asia-Pacific (APAC),Active,2005-01-01,day,2017-10-30,day,,,For Profit,http://www.hoshinesilicon.com,"Hoshine Silicon is a silicon-based materials and photovoltaic new energy business that provides industrial silicon, silica fume, and silica powder. Their products are used in various fields such as aerospace, military, electronic communications, medical health, and automobile manufacturing industry.",,,,,"Energy, Manufacturing, Natural Resources, Science and Engineering",,,IPO,,,,,,,,,,,,,,,,,,,
Deterra Royalties,https://www.crunchbase.com/organization/deterra-royalties,,"Asset Management, Financial Services","Perth, Western Australia, Australia",Deterra Royalties is an investment company that earns income from non-managed mining assets.,"3,814,991","Asia-Pacific (APAC), Australasia",Active,2020-01-01,year,2020-10-23,day,,,For Profit,http://www.deterraroyalties.com,"Deterra Royalties is a security exchange company. They are assets across a range of commodities, including bulk, base, and battery metals. They manage resource royalties, including MAC. Their investments provide exposure to the resources sector.",,,,,Financial Services,,1,IPO,2023-01-01,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,,,,JBS Investment Management,,,1
Ta Chen Stainless Pipe,https://www.crunchbase.com/organization/ta-chen-stainless-pipe,,"Industrial Manufacturing, Manufacturing, Precious Metals","Tainan, T'ai-wan, Taiwan",Ta Chen Stainless Pipe produces and sells stainless steel and aluminum products.,"3,817,057",Asia-Pacific (APAC),Active,1986-11-27,day,1996-10-24,day,,,For Profit,http://www.tachen.com.tw/,"Ta Chen Stainless Pipe is a distributor company that manufactures and sells PVFs, stainless steel, fasteners, steel strips, coils of aluminum and nickel alloy, sheets, plates, and lengthy items. Fasteners and goods made of stainless steel account for the preponderance of the company's revenues. The petrochemical and food sectors require stainless tubes and their attachments, which is where the company's particular area of expertise lies.",,,,,"Manufacturing, Natural Resources",Robert Shieh,,IPO,,,,,,,,,,,,,,,,,,,
Synergie Cad,https://www.crunchbase.com/organization/synergie-cad-46c9,,"Hardware, Manufacturing, Semiconductor, Wholesale","Toulouse, Midi-Pyrenees, France","Synergie Cad is a semiconductor company that provides package design, hardware development, and test solutions.","3,831,268","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2000-12-01,month,,,,,For Profit,https://www.synergie-cad-psc.com,,,,,,"Commerce and Shopping, Hardware, Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Recylex,https://www.crunchbase.com/organization/recylex,,"Manufacturing, Recycling","Paris, Ile-de-France, France","Recylex specializes in recycling lead and polypropylene (from car and industrial batteries), zinc from electric steel dust.","3,834,466","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2007-01-01,year,1999-04-01,day,,,For Profit,http://www.recylex.eu/,"Recylex specializes in recycling lead and polypropylene (from car and industrial batteries), zinc from electric steel dust or from old zinc, and in producing special metal. The group's products are for the automotive, pneumatic, building, chemistry and electronic industries. ",,,,,"Manufacturing, Sustainability",,,IPO,,,,,,,,,,,,,,,,,,,
Hunan Valin Steel,https://www.crunchbase.com/organization/hunan-valin-steel,,"Manufacturing, Real Estate","Changsha, Jiangsu, China",Hunan Valin Steel is a manufacturer of iron and steel products.,"3,854,378",Asia-Pacific (APAC),Closed,1999-04-29,day,1999-08-03,day,,none,For Profit,http://www.valin.cn,"Hunan Valin Steel manufactures iron and steel products. They provide wire materials, seamless steel pipes, railway materials, steel bases, copper plate pipes, and aluminum pipe wire. Their principal activities are manufacturing, processing, and selling smelted steel, rolled steel, thread steel, steel materials, ferrous metals, non-ferrous metals, and related products.",,,,,"Manufacturing, Real Estate",,,IPO,,,,,,,,,,,,,,,,,,,
